"id","slug","nom_domaine","categorie","resume_eleve","description_complete","pourquoi_c_est_important","profil_eleve_adapte","matieres_utiles","competences_techniques","competences_personnelles","outils_technologies","metiers_associes","parcours_apprentissage","ecoles_formations_maroc","certifications_recommandees","demande_mondiale","demande_maroc","niveau_difficulte","potentiel_futur","impact_ia","opportunite_freelance_1_5","opportunite_remote_1_5","score_math_1_5","score_creativite_1_5","score_communication_1_5","score_resolution_probleme_1_5","salaire_maroc_junior_min_mad","salaire_maroc_junior_max_mad","salaire_maroc_senior_min_mad","salaire_maroc_senior_max_mad","note_salaire","avantages","difficultes_possibles","conseils_pour_commencer","projets_pratiques","mots_cles_recherche","ordre_affichage","statut"
"1","developpement-web-front-end","Développement Web Front-End","Développement & Web","Découvre Développement Web Front-End : une spécialité du numérique pour comprendre, explorer, comparer et construire ton parcours.","Ce domaine consiste à conception et création d’applications, sites web, api et solutions logicielles utilisées par les entreprises et les utilisateurs. Il permet à l’élève de relier ses centres d’intérêt avec des métiers numériques concrets.","Important car la demande est très haute au Maroc et très haute à l’international, avec un impact de l’IA jugé fort.","Aime créer des applications | Aime résoudre des problèmes techniques | Apprend par la pratique | Aime voir rapidement le résultat de son travail","Informatique | Culture numérique | Anglais technique | Projet pratique","Algorithmique | HTML/CSS | JavaScript | Bases de données | Git/GitHub | Résolution de problèmes | Responsive design | Accessibilité web","Curiosité | Autonomie | Organisation | Communication | Esprit critique | Apprentissage continu","VS Code | GitHub | React | Laravel | Node.js | MySQL | Tailwind CSS","Développeur front-end | Intégrateur web | UI Developer","Maîtriser les bases HTML/CSS/JavaScript | Apprendre un framework moderne | Créer 3 projets pratiques | Comprendre les bases de données | Publier un portfolio en ligne","OFPPT Digital Development | BTS Développement des Systèmes d’Information | EST DUT Informatique | FST Informatique | ENSA/ENSIAS/INPT selon parcours","freeCodeCamp Responsive Web Design | Meta Front-End Developer | Laravel/PHP basics | JavaScript certification","Très haute","Très haute","Moyen","Excellent","Fort","5","5","2","4","3","4","6000","12000","13000","26000","Estimation pédagogique mensuelle en MAD, à vérifier et mettre à jour selon la ville, l’expérience, l’entreprise et l’année.","Bonnes perspectives d’apprentissage | Possibilité de créer des projets concrets | Compétences utiles dans plusieurs secteurs | Compatible avec le travail à distance | Possibilité de freelance","Nécessite une pratique régulière | Demande une veille technologique | Peut devenir difficile sans projets réels","Commence par les bases, réalise un petit projet lié à Développement Web Front-End, puis documente ton travail dans un portfolio.","Créer un portfolio | Créer une application de gestion simple | Créer une API REST | Déployer un site web","Développement Web Front-End | Développement & Web | Algorithmique | HTML/CSS | JavaScript | Bases de données | Git/GitHub | Développeur front-end | Intégrateur web | UI Developer","1","Publié"
"2","developpement-web-back-end","Développement Web Back-End","Développement & Web","Découvre Développement Web Back-End : une spécialité du numérique pour comprendre, explorer, comparer et construire ton parcours.","Ce domaine consiste à conception et création d’applications, sites web, api et solutions logicielles utilisées par les entreprises et les utilisateurs. Il permet à l’élève de relier ses centres d’intérêt avec des métiers numériques concrets.","Important car la demande est très haute au Maroc et très haute à l’international, avec un impact de l’IA jugé fort.","Aime créer des applications | Aime résoudre des problèmes techniques | Apprend par la pratique | Aime voir rapidement le résultat de son travail","Informatique | Culture numérique | Anglais technique | Projet pratique","Algorithmique | HTML/CSS | JavaScript | Bases de données | Git/GitHub | Résolution de problèmes | API REST | Sécurité backend","Curiosité | Autonomie | Organisation | Communication | Esprit critique | Apprentissage continu","VS Code | GitHub | React | Laravel | Node.js | MySQL | Postman","Développeur back-end | API Developer | Software Engineer","Maîtriser les bases HTML/CSS/JavaScript | Apprendre un framework moderne | Créer 3 projets pratiques | Comprendre les bases de données | Publier un portfolio en ligne","OFPPT Digital Development | BTS Développement des Systèmes d’Information | EST DUT Informatique | FST Informatique | ENSA/ENSIAS/INPT selon parcours","freeCodeCamp Responsive Web Design | Meta Front-End Developer | Laravel/PHP basics | JavaScript certification","Très haute","Très haute","Moyen","Excellent","Fort","5","5","2","4","3","4","6000","12000","13000","26000","Estimation pédagogique mensuelle en MAD, à vérifier et mettre à jour selon la ville, l’expérience, l’entreprise et l’année.","Bonnes perspectives d’apprentissage | Possibilité de créer des projets concrets | Compétences utiles dans plusieurs secteurs | Compatible avec le travail à distance | Possibilité de freelance","Nécessite une pratique régulière | Demande une veille technologique | Peut devenir difficile sans projets réels","Commence par les bases, réalise un petit projet lié à Développement Web Back-End, puis documente ton travail dans un portfolio.","Créer un portfolio | Créer une application de gestion simple | Créer une API REST | Déployer un site web","Développement Web Back-End | Développement & Web | Algorithmique | HTML/CSS | JavaScript | Bases de données | Git/GitHub | Développeur back-end | API Developer | Software Engineer","2","Publié"
"3","developpement-full-stack","Développement Full-Stack","Développement & Web","Découvre Développement Full-Stack : une spécialité du numérique pour comprendre, explorer, comparer et construire ton parcours.","Ce domaine consiste à conception et création d’applications, sites web, api et solutions logicielles utilisées par les entreprises et les utilisateurs. Il permet à l’élève de relier ses centres d’intérêt avec des métiers numériques concrets.","Important car la demande est très haute au Maroc et très haute à l’international, avec un impact de l’IA jugé fort.","Aime créer des applications | Aime résoudre des problèmes techniques | Apprend par la pratique | Aime voir rapidement le résultat de son travail","Informatique | Culture numérique | Anglais technique | Projet pratique","Algorithmique | HTML/CSS | JavaScript | Bases de données | Git/GitHub | Résolution de problèmes | Frontend | Backend | Architecture web","Curiosité | Autonomie | Organisation | Communication | Esprit critique | Apprentissage continu","VS Code | GitHub | React | Laravel | Node.js | MySQL","Développeur full-stack | Software Engineer | Freelance web developer","Maîtriser les bases HTML/CSS/JavaScript | Apprendre un framework moderne | Créer 3 projets pratiques | Comprendre les bases de données | Publier un portfolio en ligne","OFPPT Digital Development | BTS Développement des Systèmes d’Information | EST DUT Informatique | FST Informatique | ENSA/ENSIAS/INPT selon parcours","freeCodeCamp Responsive Web Design | Meta Front-End Developer | Laravel/PHP basics | JavaScript certification","Très haute","Très haute","Moyen","Excellent","Fort","5","5","2","4","3","4","6000","12000","13000","26000","Estimation pédagogique mensuelle en MAD, à vérifier et mettre à jour selon la ville, l’expérience, l’entreprise et l’année.","Bonnes perspectives d’apprentissage | Possibilité de créer des projets concrets | Compétences utiles dans plusieurs secteurs | Compatible avec le travail à distance | Possibilité de freelance","Nécessite une pratique régulière | Demande une veille technologique | Peut devenir difficile sans projets réels","Commence par les bases, réalise un petit projet lié à Développement Full-Stack, puis documente ton travail dans un portfolio.","Créer un portfolio | Créer une application de gestion simple | Créer une API REST | Déployer un site web","Développement Full-Stack | Développement & Web | Algorithmique | HTML/CSS | JavaScript | Bases de données | Git/GitHub | Développeur full-stack | Software Engineer | Freelance web developer","3","Publié"
"4","developpement-mobile-ios-swift","Développement Mobile iOS (Swift)","Développement & Web","Découvre Développement Mobile iOS (Swift) : une spécialité du numérique pour comprendre, explorer, comparer et construire ton parcours.","Ce domaine consiste à conception et création d’applications, sites web, api et solutions logicielles utilisées par les entreprises et les utilisateurs. Il permet à l’élève de relier ses centres d’intérêt avec des métiers numériques concrets.","Important car la demande est haute au Maroc et haute à l’international, avec un impact de l’IA jugé fort.","Aime créer des applications | Aime résoudre des problèmes techniques | Apprend par la pratique | Aime voir rapidement le résultat de son travail","Informatique | Culture numérique | Anglais technique | Projet pratique","Algorithmique | HTML/CSS | JavaScript | Bases de données | Git/GitHub | Résolution de problèmes","Curiosité | Autonomie | Organisation | Communication | Esprit critique | Apprentissage continu","VS Code | GitHub | React | Laravel | Node.js | MySQL | Flutter | React Native","Développeur mobile | Mobile App Developer | Développeur cross-platform","Maîtriser les bases HTML/CSS/JavaScript | Apprendre un framework moderne | Créer 3 projets pratiques | Comprendre les bases de données | Publier un portfolio en ligne","OFPPT Digital Development | BTS Développement des Systèmes d’Information | EST DUT Informatique | FST Informatique | ENSA/ENSIAS/INPT selon parcours","freeCodeCamp Responsive Web Design | Meta Front-End Developer | Laravel/PHP basics | JavaScript certification","Haute","Haute","Moyen","Très fort","Fort","5","5","2","4","3","4","5500","11000","12000","24000","Estimation pédagogique mensuelle en MAD, à vérifier et mettre à jour selon la ville, l’expérience, l’entreprise et l’année.","Bonnes perspectives d’apprentissage | Possibilité de créer des projets concrets | Compétences utiles dans plusieurs secteurs | Compatible avec le travail à distance | Possibilité de freelance","Nécessite une pratique régulière | Demande une veille technologique | Peut devenir difficile sans projets réels","Commence par les bases, réalise un petit projet lié à Développement Mobile iOS (Swift), puis documente ton travail dans un portfolio.","Créer un portfolio | Créer une application de gestion simple | Créer une API REST | Déployer un site web","Développement Mobile iOS (Swift) | Développement & Web | Algorithmique | HTML/CSS | JavaScript | Bases de données | Git/GitHub | Développeur mobile | Mobile App Developer | Développeur cross-platform","4","Publié"
"5","developpement-mobile-android-kotlin","Développement Mobile Android (Kotlin)","Développement & Web","Découvre Développement Mobile Android (Kotlin) : une spécialité du numérique pour comprendre, explorer, comparer et construire ton parcours.","Ce domaine consiste à conception et création d’applications, sites web, api et solutions logicielles utilisées par les entreprises et les utilisateurs. Il permet à l’élève de relier ses centres d’intérêt avec des métiers numériques concrets.","Important car la demande est haute au Maroc et haute à l’international, avec un impact de l’IA jugé fort.","Aime créer des applications | Aime résoudre des problèmes techniques | Apprend par la pratique | Aime voir rapidement le résultat de son travail","Informatique | Culture numérique | Anglais technique | Projet pratique","Algorithmique | HTML/CSS | JavaScript | Bases de données | Git/GitHub | Résolution de problèmes","Curiosité | Autonomie | Organisation | Communication | Esprit critique | Apprentissage continu","VS Code | GitHub | React | Laravel | Node.js | MySQL | Flutter | React Native","Développeur mobile | Mobile App Developer | Développeur cross-platform","Maîtriser les bases HTML/CSS/JavaScript | Apprendre un framework moderne | Créer 3 projets pratiques | Comprendre les bases de données | Publier un portfolio en ligne","OFPPT Digital Development | BTS Développement des Systèmes d’Information | EST DUT Informatique | FST Informatique | ENSA/ENSIAS/INPT selon parcours","freeCodeCamp Responsive Web Design | Meta Front-End Developer | Laravel/PHP basics | JavaScript certification","Haute","Haute","Moyen","Très fort","Fort","5","5","2","4","3","4","5500","11000","12000","24000","Estimation pédagogique mensuelle en MAD, à vérifier et mettre à jour selon la ville, l’expérience, l’entreprise et l’année.","Bonnes perspectives d’apprentissage | Possibilité de créer des projets concrets | Compétences utiles dans plusieurs secteurs | Compatible avec le travail à distance | Possibilité de freelance","Nécessite une pratique régulière | Demande une veille technologique | Peut devenir difficile sans projets réels","Commence par les bases, réalise un petit projet lié à Développement Mobile Android (Kotlin), puis documente ton travail dans un portfolio.","Créer un portfolio | Créer une application de gestion simple | Créer une API REST | Déployer un site web","Développement Mobile Android (Kotlin) | Développement & Web | Algorithmique | HTML/CSS | JavaScript | Bases de données | Git/GitHub | Développeur mobile | Mobile App Developer | Développeur cross-platform","5","Publié"
"6","developpement-cross-platform-flutter-react-native","Développement Cross-Platform (Flutter/React Native)","Développement & Web","Découvre Développement Cross-Platform (Flutter/React Native) : une spécialité du numérique pour comprendre, explorer, comparer et construire ton parcours.","Ce domaine consiste à conception et création d’applications, sites web, api et solutions logicielles utilisées par les entreprises et les utilisateurs. Il permet à l’élève de relier ses centres d’intérêt avec des métiers numériques concrets.","Important car la demande est très haute au Maroc et très haute à l’international, avec un impact de l’IA jugé fort.","Aime créer des applications | Aime résoudre des problèmes techniques | Apprend par la pratique | Aime voir rapidement le résultat de son travail","Informatique | Culture numérique | Anglais technique | Projet pratique","Algorithmique | HTML/CSS | JavaScript | Bases de données | Git/GitHub | Résolution de problèmes","Curiosité | Autonomie | Organisation | Communication | Esprit critique | Apprentissage continu","VS Code | GitHub | React | Laravel | Node.js | MySQL | Flutter | React Native","Développeur mobile | Mobile App Developer | Développeur cross-platform","Maîtriser les bases HTML/CSS/JavaScript | Apprendre un framework moderne | Créer 3 projets pratiques | Comprendre les bases de données | Publier un portfolio en ligne","OFPPT Digital Development | BTS Développement des Systèmes d’Information | EST DUT Informatique | FST Informatique | ENSA/ENSIAS/INPT selon parcours","freeCodeCamp Responsive Web Design | Meta Front-End Developer | Laravel/PHP basics | JavaScript certification","Très haute","Très haute","Moyen","Excellent","Fort","5","5","2","4","3","4","6000","12000","13000","26000","Estimation pédagogique mensuelle en MAD, à vérifier et mettre à jour selon la ville, l’expérience, l’entreprise et l’année.","Bonnes perspectives d’apprentissage | Possibilité de créer des projets concrets | Compétences utiles dans plusieurs secteurs | Compatible avec le travail à distance | Possibilité de freelance","Nécessite une pratique régulière | Demande une veille technologique | Peut devenir difficile sans projets réels","Commence par les bases, réalise un petit projet lié à Développement Cross-Platform (Flutter/React Native), puis documente ton travail dans un portfolio.","Créer un portfolio | Créer une application de gestion simple | Créer une API REST | Déployer un site web","Développement Cross-Platform (Flutter/React Native) | Développement & Web | Algorithmique | HTML/CSS | JavaScript | Bases de données | Git/GitHub | Développeur mobile | Mobile App Developer | Développeur cross-platform","6","Publié"
"7","developpement-de-jeux-video-game-dev","Développement de Jeux Vidéo (Game Dev)","Développement & Web","Découvre Développement de Jeux Vidéo (Game Dev) : une spécialité du numérique pour comprendre, explorer, comparer et construire ton parcours.","Ce domaine consiste à conception et création d’applications, sites web, api et solutions logicielles utilisées par les entreprises et les utilisateurs. Il permet à l’élève de relier ses centres d’intérêt avec des métiers numériques concrets.","Important car la demande est moyenne au Maroc et haute à l’international, avec un impact de l’IA jugé fort.","Aime créer des applications | Aime résoudre des problèmes techniques | Apprend par la pratique | Aime voir rapidement le résultat de son travail","Informatique | Culture numérique | Anglais technique | Projet pratique","Algorithmique | HTML/CSS | JavaScript | Bases de données | Git/GitHub | Résolution de problèmes | Prototypage | Design system","Curiosité | Autonomie | Organisation | Communication | Esprit critique | Apprentissage continu","VS Code | GitHub | React | Laravel | Node.js | MySQL | Figma | Canva","UX/UI Designer | Product Designer | Web Designer","Maîtriser les bases HTML/CSS/JavaScript | Apprendre un framework moderne | Créer 3 projets pratiques | Comprendre les bases de données | Publier un portfolio en ligne","OFPPT Digital Development | BTS Développement des Systèmes d’Information | EST DUT Informatique | FST Informatique | ENSA/ENSIAS/INPT selon parcours","freeCodeCamp Responsive Web Design | Meta Front-End Developer | Laravel/PHP basics | JavaScript certification","Haute","Moyenne","Moyen","Très fort","Fort","5","5","2","4","3","4","5500","11000","12000","24000","Estimation pédagogique mensuelle en MAD, à vérifier et mettre à jour selon la ville, l’expérience, l’entreprise et l’année.","Bonnes perspectives d’apprentissage | Possibilité de créer des projets concrets | Compétences utiles dans plusieurs secteurs | Compatible avec le travail à distance | Possibilité de freelance","Nécessite une pratique régulière | Demande une veille technologique | Peut devenir difficile sans projets réels","Commence par les bases, réalise un petit projet lié à Développement de Jeux Vidéo (Game Dev), puis documente ton travail dans un portfolio.","Créer un portfolio | Créer une application de gestion simple | Créer une API REST | Déployer un site web","Développement de Jeux Vidéo (Game Dev) | Développement & Web | Algorithmique | HTML/CSS | JavaScript | Bases de données | Git/GitHub | UX/UI Designer | Product Designer | Web Designer","7","Publié"
"8","developpement-logiciel-embarque","Développement Logiciel Embarqué","Développement & Web","Découvre Développement Logiciel Embarqué : une spécialité du numérique pour comprendre, explorer, comparer et construire ton parcours.","Ce domaine consiste à conception et création d’applications, sites web, api et solutions logicielles utilisées par les entreprises et les utilisateurs. Il permet à l’élève de relier ses centres d’intérêt avec des métiers numériques concrets.","Important car la demande est moyenne au Maroc et haute à l’international, avec un impact de l’IA jugé fort.","Aime créer des applications | Aime résoudre des problèmes techniques | Apprend par la pratique | Aime voir rapidement le résultat de son travail","Informatique | Culture numérique | Anglais technique | Projet pratique","Algorithmique | HTML/CSS | JavaScript | Bases de données | Git/GitHub | Résolution de problèmes | Capteurs | Systèmes embarqués","Curiosité | Autonomie | Organisation | Communication | Esprit critique | Apprentissage continu","VS Code | GitHub | React | Laravel | Node.js | MySQL | Arduino | Raspberry Pi","Ingénieur IoT | Développeur embarqué | Ingénieur robotique","Maîtriser les bases HTML/CSS/JavaScript | Apprendre un framework moderne | Créer 3 projets pratiques | Comprendre les bases de données | Publier un portfolio en ligne","OFPPT Digital Development | BTS Développement des Systèmes d’Information | EST DUT Informatique | FST Informatique | ENSA/ENSIAS/INPT selon parcours","freeCodeCamp Responsive Web Design | Meta Front-End Developer | Laravel/PHP basics | JavaScript certification","Haute","Moyenne","Moyen","Très fort","Fort","5","5","2","4","3","4","5500","11000","12000","24000","Estimation pédagogique mensuelle en MAD, à vérifier et mettre à jour selon la ville, l’expérience, l’entreprise et l’année.","Bonnes perspectives d’apprentissage | Possibilité de créer des projets concrets | Compétences utiles dans plusieurs secteurs | Compatible avec le travail à distance | Possibilité de freelance","Nécessite une pratique régulière | Demande une veille technologique | Peut devenir difficile sans projets réels","Commence par les bases, réalise un petit projet lié à Développement Logiciel Embarqué, puis documente ton travail dans un portfolio.","Créer un portfolio | Créer une application de gestion simple | Créer une API REST | Déployer un site web","Développement Logiciel Embarqué | Développement & Web | Algorithmique | HTML/CSS | JavaScript | Bases de données | Git/GitHub | Ingénieur IoT | Développeur embarqué | Ingénieur robotique","8","Publié"
"9","developpement-de-progressive-web-apps-pwa","Développement de Progressive Web Apps (PWA)","Développement & Web","Découvre Développement de Progressive Web Apps (PWA) : une spécialité du numérique pour comprendre, explorer, comparer et construire ton parcours.","Ce domaine consiste à conception et création d’applications, sites web, api et solutions logicielles utilisées par les entreprises et les utilisateurs. Il permet à l’élève de relier ses centres d’intérêt avec des métiers numériques concrets.","Important car la demande est moyenne au Maroc et haute à l’international, avec un impact de l’IA jugé fort.","Aime créer des applications | Aime résoudre des problèmes techniques | Apprend par la pratique | Aime voir rapidement le résultat de son travail","Informatique | Culture numérique | Anglais technique | Projet pratique","Algorithmique | HTML/CSS | JavaScript | Bases de données | Git/GitHub | Résolution de problèmes","Curiosité | Autonomie | Organisation | Communication | Esprit critique | Apprentissage continu","VS Code | GitHub | React | Laravel | Node.js | MySQL","Développeur front-end | Développeur back-end | Développeur full-stack | Développeur mobile | Intégrateur web","Maîtriser les bases HTML/CSS/JavaScript | Apprendre un framework moderne | Créer 3 projets pratiques | Comprendre les bases de données | Publier un portfolio en ligne","OFPPT Digital Development | BTS Développement des Systèmes d’Information | EST DUT Informatique | FST Informatique | ENSA/ENSIAS/INPT selon parcours","freeCodeCamp Responsive Web Design | Meta Front-End Developer | Laravel/PHP basics | JavaScript certification","Haute","Moyenne","Moyen","Très fort","Fort","5","5","2","4","3","4","5500","11000","12000","24000","Estimation pédagogique mensuelle en MAD, à vérifier et mettre à jour selon la ville, l’expérience, l’entreprise et l’année.","Bonnes perspectives d’apprentissage | Possibilité de créer des projets concrets | Compétences utiles dans plusieurs secteurs | Compatible avec le travail à distance | Possibilité de freelance","Nécessite une pratique régulière | Demande une veille technologique | Peut devenir difficile sans projets réels","Commence par les bases, réalise un petit projet lié à Développement de Progressive Web Apps (PWA), puis documente ton travail dans un portfolio.","Créer un portfolio | Créer une application de gestion simple | Créer une API REST | Déployer un site web","Développement de Progressive Web Apps (PWA) | Développement & Web | Algorithmique | HTML/CSS | JavaScript | Bases de données | Git/GitHub | Développeur front-end | Développeur back-end | Développeur full-stack","9","Publié"
"10","developpement-d-api-restful-graphql","Développement d'API RESTful & GraphQL","Développement & Web","Découvre Développement d'API RESTful & GraphQL : une spécialité du numérique pour comprendre, explorer, comparer et construire ton parcours.","Ce domaine consiste à conception et création d’applications, sites web, api et solutions logicielles utilisées par les entreprises et les utilisateurs. Il permet à l’élève de relier ses centres d’intérêt avec des métiers numériques concrets.","Important car la demande est très haute au Maroc et très haute à l’international, avec un impact de l’IA jugé fort.","Aime créer des applications | Aime résoudre des problèmes techniques | Apprend par la pratique | Aime voir rapidement le résultat de son travail","Informatique | Culture numérique | Anglais technique | Projet pratique","Algorithmique | HTML/CSS | JavaScript | Bases de données | Git/GitHub | Résolution de problèmes | API REST | Sécurité backend","Curiosité | Autonomie | Organisation | Communication | Esprit critique | Apprentissage continu","VS Code | GitHub | React | Laravel | Node.js | MySQL | Postman","Développeur back-end | API Developer | Software Engineer","Maîtriser les bases HTML/CSS/JavaScript | Apprendre un framework moderne | Créer 3 projets pratiques | Comprendre les bases de données | Publier un portfolio en ligne","OFPPT Digital Development | BTS Développement des Systèmes d’Information | EST DUT Informatique | FST Informatique | ENSA/ENSIAS/INPT selon parcours","freeCodeCamp Responsive Web Design | Meta Front-End Developer | Laravel/PHP basics | JavaScript certification","Très haute","Très haute","Moyen","Excellent","Fort","5","5","2","4","3","4","6000","12000","13000","26000","Estimation pédagogique mensuelle en MAD, à vérifier et mettre à jour selon la ville, l’expérience, l’entreprise et l’année.","Bonnes perspectives d’apprentissage | Possibilité de créer des projets concrets | Compétences utiles dans plusieurs secteurs | Compatible avec le travail à distance | Possibilité de freelance","Nécessite une pratique régulière | Demande une veille technologique | Peut devenir difficile sans projets réels","Commence par les bases, réalise un petit projet lié à Développement d'API RESTful & GraphQL, puis documente ton travail dans un portfolio.","Créer un portfolio | Créer une application de gestion simple | Créer une API REST | Déployer un site web","Développement d'API RESTful & GraphQL | Développement & Web | Algorithmique | HTML/CSS | JavaScript | Bases de données | Git/GitHub | Développeur back-end | API Developer | Software Engineer","10","Publié"
